Scenario, 1

Time, ActionID, Action Parameters...
104424, 1815, 25
104424, 1815, 32
104424, 1815, 33
104424, 1815, 35
104424, 1815, 39
104424, 1814, 40
104425, 1810, 13
104425, 1810, 26
104425, 1810, 28
104425, 1810, 31
104425, 1810, 34
104425, 1810, 36
104426, 1811, 2, 100
104426, 1811, 3, 100
104426, 1807, 17
104426, 1807, 25
104426, 1807, 32
104426, 1807, 33
104426, 1807, 35
104426, 1807, 39
104428, 1810, 0
104428, 1809, 5
104428, 1810, 9
104428, 1809, 14
104428, 1810, 21
104428, 1809, 22
104428, 1810, 24
104428, 1809, 40
104428, 1816, 3
104428, 1816, 4
104429, 1814, 1
104429, 1814, 8
104429, 1811, 13, 100
104429, 1814, 23
104429, 1814, 27
104431, 1809, 0
104431, 1814, 2
104431, 1814, 3
104431, 1814, 4
104431, 1809, 9
104431, 1814, 13
104431, 1809, 21
104431, 1809, 24
104431, 1814, 26
104431, 1814, 28
104431, 1814, 31
104431, 1814, 34
104431, 1814, 36
104431, 1814, 38
104432, 1815, 13
104432, 1815, 26
104432, 1815, 28
104432, 1815, 31
104432, 1815, 34
104432, 1815, 36
104433, 1810, 5
104433, 1808, 13
104433, 1810, 14
104433, 1810, 22
104433, 1808, 26
104433, 1808, 28
104433, 1808, 31
104433, 1808, 34
104433, 1808, 36
104433, 1810, 40
104433, 1816, 1
104434, 1809, 1
104434, 1809, 8
104434, 1809, 23
104434, 1809, 27
104436, 1810, 0
104436, 1809, 5
104436, 1810, 9
104436, 1809, 14
104436, 1810, 21
104436, 1809, 22
104436, 1810, 24
104436, 1809, 40
104439, 1809, 0
104439, 1810, 1
104439, 1814, 2
104439, 1814, 3
104439, 1814, 4
104439, 1810, 8
104439, 1809, 9
104439, 1809, 21
104439, 1810, 23
104439, 1809, 24
104439, 1810, 27
104439, 1814, 38
104440, 1811, 2, 100
104442, 1809, 1
104442, 1810, 5
104442, 1809, 8
104442, 1810, 14
104442, 1810, 22
104442, 1809, 23
104442, 1809, 27
104442, 1810, 40
104444, 1814, 7
104444, 1814, 11
104444, 1814, 15
104444, 1814, 16
104444, 1814, 19
104444, 1814, 20
104444, 1814, 29
104444, 1814, 30
104444, 1814, 37
104445, 1810, 0
104445, 1809, 5
104445, 1806, 7
104445, 1810, 9
104445, 1806, 11
104445, 1809, 14
104445, 1806, 15
104445, 1806, 16
104445, 1806, 19
104445, 1806, 20
104445, 1810, 21
104445, 1809, 22
104445, 1810, 24
104445, 1806, 29
104445, 1806, 30
104445, 1806, 37
104445, 1809, 40
104445, 1817, 1
104446, 1814, 17
104446, 1814, 25
104446, 1814, 32
104446, 1814, 33
104446, 1814, 35
104446, 1814, 39
104447, 1814, 2
104447, 1814, 3
104447, 1814, 4
104447, 1806, 17
104447, 1806, 25
104447, 1806, 32
104447, 1806, 33
104447, 1806, 35
104447, 1814, 38
104447, 1806, 39
104448, 1810, 1
104448, 1809, 7
104448, 1810, 8
104448, 1809, 11
104448, 1809, 15
104448, 1809, 16
104448, 1809, 19
104448, 1809, 20
104448, 1810, 23
104448, 1810, 27
104448, 1809, 29
104448, 1809, 30
104448, 1809, 37
